Date,BAB,MKT,SMB,HML,UMD
08/21/1996,0.00,0.00,0.00,0.00,0.00
08/22/1996,0.00,0.00,0.00,0.00,0.00
08/23/1996,0.00,0.00,0.00,0.00,0.00
08/26/1996,0.00,0.00,0.00,0.00,0.00
08/27/1996,0.00,0.00,0.00,0.00,0.00
08/28/1996,0.00,0.00,0.00,0.00,0.00
08/29/1996,0.00,-0.01,0.00,0.00,0.00
08/30/1996,0.00,-0.01,0.00,0.00,0.00
09/02/1996,0.00,0.00,0.00,0.00,0.00
09/03/1996,0.00,0.00,0.00,0.00,0.00
09/04/1996,0.00,0.00,0.00,0.00,0.00
09/05/1996,0.00,0.00,0.00,0.00,0.00
09/06/1996,0.00,0.00,0.00,0.00,0.00
09/09/1996,0.00,0.01,0.00,0.00,0.00
09/10/1996,0.00,0.00,0.00,0.00,0.00
09/11/1996,0.00,0.00,0.00,0.00,0.00
09/12/1996,0.00,0.00,0.00,0.00,0.00
09/13/1996,0.00,0.01,0.00,0.00,0.00
09/16/1996,0.00,0.00,0.00,0.00,0.00
09/17/1996,0.00,0.00,0.00,0.00,0.00
09/18/1996,0.00,0.00,0.00,0.00,0.00
09/19/1996,0.00,0.00,0.00,0.00,0.00
09/20/1996,0.00,0.00,0.00,0.00,0.00
09/23/1996,0.00,0.00,0.00,0.00,0.00
09/24/1996,0.00,0.00,0.00,0.00,0.00
09/25/1996,0.00,0.00,0.00,0.00,0.00
09/26/1996,0.00,0.00,0.00,0.00,0.00
09/27/1996,0.00,0.00,0.00,0.00,0.00
09/30/1996,0.00,0.00,0.00,0.00,0.00
10/01/1996,0.00,0.00,0.00,0.00,0.00
10/02/1996,0.00,0.00,0.00,0.00,0.00
10/03/1996,0.00,0.00,0.00,0.00,0.00
10/04/1996,0.00,0.00,0.00,0.00,0.00
10/07/1996,0.00,0.00,0.00,0.00,0.00
10/08/1996,0.00,0.00,0.00,0.00,0.00
10/09/1996,0.00,-0.01,0.00,0.00,0.00
10/10/1996,0.00,0.00,0.00,0.00,0.00
10/11/1996,0.00,0.00,0.00,0.00,0.00
10/14/1996,0.00,0.00,0.00,0.00,0.00
10/15/1996,0.00,0.00,0.00,0.00,0.00
10/16/1996,0.00,0.00,0.00,0.00,0.00
10/17/1996,0.00,0.00,0.00,0.00,0.00
10/18/1996,0.00,0.00,0.00,0.00,0.00
10/21/1996,0.00,0.00,0.00,0.00,0.00
10/22/1996,0.00,-0.01,0.00,0.00,0.00
10/23/1996,0.00,0.00,0.00,0.00,0.00
10/24/1996,0.00,0.00,0.00,0.00,0.00
10/25/1996,0.00,0.00,0.00,0.00,0.00
10/28/1996,0.00,0.00,0.00,0.00,0.00
10/29/1996,0.00,0.00,0.00,0.00,0.00
10/30/1996,0.00,0.00,0.00,0.00,0.00
10/31/1996,0.00,0.00,0.00,0.00,0.00
11/01/1996,0.00,0.00,0.00,0.00,0.00
11/04/1996,0.00,0.00,0.00,0.00,0.00
11/05/1996,0.00,0.00,0.00,0.00,0.00
11/06/1996,0.00,0.01,-0.01,0.00,0.00
11/07/1996,0.00,0.00,0.00,0.00,0.00
11/08/1996,0.00,0.00,0.00,0.00,0.00
11/11/1996,0.00,0.00,0.00,0.00,0.00
11/12/1996,0.00,0.00,0.00,0.00,0.00
11/13/1996,0.00,0.00,0.00,0.00,0.00
11/14/1996,0.00,0.00,0.00,0.00,0.00
11/15/1996,0.00,0.00,0.00,0.00,0.00
